"area_type","location","size","society","total_sqft","bath","balcony","price"
"Super built-up  Area","Hebbal",3,"Mahosya",1760,2,2,123
"Super built-up  Area","Raja Rajeshwari Nagar",3,"GrrvaGr",1693,3,3,57.39
"Built-up  Area","Kasturi Nagar",3,"Kantsce",1925,3,2,125
"Super built-up  Area","Kanakpura Road",2,"PrarePa",700,2,1,36
"Super built-up  Area","Electronics City Phase 1",2,"Unknown",1070,2,1,45.5
"Super built-up  Area","Kundalahalli",3,"Dieldli",1724,3,2,125
"Super built-up  Area","Chikkalasandra",3,"Unknown",1290,2,2,56.12
"Built-up  Area","Uttarahalli",2,"Unknown",1143,2,2,45
"Built-up  Area","Murugeshpalya",2,"Gentson",1296,2,2,81
"Super built-up  Area","Sarjapur  Road",3,"Soini T",1254,3,2,38
"Super built-up  Area","Ganga Nagar",1,"Ceove G",600,1,0,38
"Plot  Area","Yelahanka",1,"Unknown",660,1,0,48
"Super built-up  Area","Kanakpura Road",2,"Soazak ",1290,2,2,91.79
"Plot  Area","HSR Layout",8,"Unknown",600,9,2,200
"Super built-up  Area","Doddathoguru",2,"LancyRe",970,2,0,33
"Super built-up  Area","Whitefield",2,"Goted U",1459,2,1,94.82
"Plot  Area","KR Puram",2,"Unknown",800,1,1,130
"Built-up  Area","Himagiri Meadows",2,"Unknown",869,2,1,36
"Super built-up  Area","Adarsh Nagar",2,"Bhncyis",1270,2,1,50
"Super built-up  Area","Bhoganhalli",3,"Rosha I",1670,3,1,99
"Built-up  Area","Whitefield",3,"Suent V",2010,3,2,91
"Super built-up  Area","Lakshminarayana Pura",2,"RothaVa",1185,2,2,75
"Super built-up  Area","Yelahanka",3,"NCowsar",1600,2,3,75
"Super built-up  Area","Begur Road",2,"Dhalsh ",1200,2,2,44
"Super built-up  Area","Ramakrishnappa Layout",2,"PeBayle",1500,2,2,185
"Plot  Area","Murugeshpalya",6,"Unknown",1407,4,1,150
"Super built-up  Area","Govindaraja Nagar Ward",2,"Unknown",840,2,2,45
"Plot  Area","Tharabanahalli",3,"Unknown",4395,3,2,240
"Super built-up  Area","Ganga Nagar",2,"Laavevi",845,2,1,55
"Plot  Area","Whitefield",4,"Chranya",5700,5,3,650
"Built-up  Area","Varthur",2,"HioraTr",1160,2,2,44
"Built-up  Area","Bommanahalli",8,"Unknown",3000,8,0,140
"Super built-up  Area","Doddathoguru",2,"Unknown",1100,2,1,62
"Super built-up  Area","Gunjur",2,"BMineis",1140,2,3,43
"Super built-up  Area","Marathahalli",2,"Unknown",1220,2,1,57
"Plot  Area","Devarachikkanahalli",8,"Unknown",1350,7,0,85
"Super built-up  Area","Kanakpura Road",2,"Unknown",1005,2,1,36.68
"Plot  Area","Double Road",3,"Unknown",500,3,2,100
"Super built-up  Area","Begur Road",2,"Pruthg ",1358,2,1,80.58
"Super built-up  Area","Hegde Nagar",3,"Sonosty",1569,3,1,101
"Super built-up  Area","Haralur Road",2,"SNnia E",1240,2,1,70
"Super built-up  Area","Hennur Road",3,"Anavi B",2089,3,2,140
"Super built-up  Area","Kothannur",2,"Unknown",1206,2,1,48.23
"Super built-up  Area","Kalena Agrahara",2,"Unknown",1150,2,3,40
"Built-up  Area","Cholanayakanahalli",3,"Viony H",2511,3,3,205
"Built-up  Area","Kaval Byrasandra",2,"Unknown",460,1,0,22
"Built-up  Area","ISRO Layout",6,"Unknown",4400,6,3,250
"Super built-up  Area","Kodanda Reddy Layout",3,"AdentEl",1660,2,2,105
"Super built-up  Area","Yelahanka",2,"Niareum",1326,2,2,78
"Super built-up  Area","Garudachar Palya",3,"Unknown",1325,2,2,60.8
"Super built-up  Area","EPIP Zone",3,"SJlynro",1499,5,2,102
"Built-up  Area","Hegde Nagar",6,"Unknown",3000,7,2,210
"Super built-up  Area","Kanakpura Road",3,"Unknown",1665,3,2,88
"Super built-up  Area","Dasanapura",2,"Tavenew",708,2,2,37
"Super built-up  Area","Kasavanhalli",2,"Srire S",1060,2,2,58.06
"Plot  Area","Rajaji Nagar",6,"Unknown",710,6,3,160
"Built-up  Area","Sanjay nagar",2,"Saenti ",1000,2,2,70
"Super built-up  Area","Electronic City",2,"Unknown",1000,2,1,28.88
"Super built-up  Area"," Mysore Highway",3,"Unknown",1450,2,2,70
"Plot  Area","ISRO Layout",4,"Unknown",1200,4,2,155
"Super built-up  Area","Thanisandra",2,"Bhmesy ",1296,2,3,80
"Super built-up  Area","Domlur",3,"Unknown",1540,3,2,90
"Plot  Area","Kengeri",4,"Goardth",2894,4,1,245
"Super built-up  Area","Sarjapura - Attibele Road",3,"Unknown",1330,2,1,48
"Built-up  Area","Devasthanagalu",2,"Unknown",1200,2,1,65
"Built-up  Area","T Dasarahalli",3,"Unknown",1200,3,1,90
"Super built-up  Area","Yeshwanthpur",3,"IBityin",2502,3,3,138
"Built-up  Area","Chandapura",2,"KHityry",650,1,1,17
"Plot  Area","Kothanur",3,"BDensar",2400,2,1,150
"Super built-up  Area","Green View Layout",2,"Makeser",1007,2,2,43
"Super built-up  Area","Shantiniketan Layout",2,"Maest N",1200,2,2,50
"Super built-up  Area","Peenya",2,"Unknown",966,2,2,49.9
"Built-up  Area","Nagarbhavi",3,"Unknown",1630,2,1,98
"Built-up  Area","Rajaji Nagar",3,"Brway G",1640,3,2,229
"Built-up  Area","Jalahalli West",2,"Unknown",782,2,2,55.68
"Super built-up  Area","Devanahalli",2,"Oznuean",1260,2,2,66.78
"Super built-up  Area","Lakshmiamma Garden",3,"Unknown",1800,3,3,120
"Super built-up  Area","Byatarayanapura",3,"Reeroce",1413,2,2,75
"Super built-up  Area","Whitefield",2,"Sonviik",1116,2,1,51.91
"Super built-up  Area","Electronic City",3,"DSgmax ",1530,2,1,45.9
"Built-up  Area","Ramamurthy Nagar",4,"Unknown",3700,4,1,225
"Built-up  Area","Sarjapur  Road",3,"Cetattu",2497,3,2,140
"Super built-up  Area","Kengeri",3,"Vaens G",1540,2,3,64
"Super built-up  Area","Thanisandra",3,"Unknown",1436,3,1,74.75
"Super built-up  Area","Malleshwaram",2,"Unknown",1100,2,2,75
"Plot  Area","Hennur Road",2,"Unknown",276,3,3,23
"Super built-up  Area","Thanisandra",3,"Moity S",1427,3,2,120
"Super built-up  Area","Akshaya Nagar",3,"HiahsLa",2061,3,1,200
"Super built-up  Area","Hebbal",4,"SNontle",1290,4,0,477
"Built-up  Area","Shampura",4,"Unknown",2650,4,2,150
"Super built-up  Area","Devanahalli",3,"Sabixtt",1282,2,2,68.52
"Built-up  Area","Kadugodi",2,"Unknown",1050,2,1,34
"Built-up  Area","LB Shastri Nagar",3,"Sragei ",1600,3,2,65
"Super built-up  Area","Vajarahalli",2,"Unknown",945,2,1,54
"Super built-up  Area","Hormavu",2,"SyidaCr",1500,2,1,78
"Plot  Area","Vishwapriya Layout",7,"Unknown",950,7,0,115
"Built-up  Area","Peenya",3,"Jahts H",1870,3,3,110
"Plot  Area","Sarjapur",3,"Inensba",1600,3,1,75
"Super built-up  Area","Electronic City",2,"Itelaa ",880,1,1,16.5
"Plot  Area","Ramaswamy Palya - Kammanahalli Main Road",4,"Unknown",1200,4,0,210
"Super built-up  Area","Kudlu Gate",3,"Srier P",1535,3,2,83
"Built-up  Area","Kanakpura Road",2,"Wiowsri",950,2,1,57
"Super built-up  Area","Devanahalli",2,"Derdsig",1360,2,1,65
"Super built-up  Area","8th Phase JP Nagar",2,"Vaarech",1290,2,0,54.005
"Super built-up  Area","Bommasandra Industrial Area",3,"Unknown",1280,3,1,50.4
"Super built-up  Area","Chandra Layout",3,"TiaksAa",1260,2,2,85.05
"Built-up  Area","Hennur Road",8,"Unknown",5000,8,2,250
"Super built-up  Area","Yelahanka",5,"LedorSa",3050,5,1,213
"Super built-up  Area","Kasavanhalli",3,"HMwerCo",1290,3,1,105
"Super built-up  Area","ISRO Layout",2,"Unknown",1000,2,1,60
"Super built-up  Area","Anandapura",2,"ViensRK",1167,2,1,43.76
"Super built-up  Area","Vishveshwarya Layout",7,"Unknown",4000,7,2,225
"Super built-up  Area","Kothanur",3,"Somumys",1828,3,2,110
"Super built-up  Area","Kengeri Satellite Town",2,"HoiewLa",890,2,1,35
"Super built-up  Area","Basavanapura",3,"Dwity T",1612,3,3,46.74
"Plot  Area","Dinnur",6,"Unknown",1034,5,2,185
"Super built-up  Area","Mysore Road",3,"Brama P",1710,4,2,91.31
"Super built-up  Area","Kannamangala",2,"VBownre",957,2,1,58
"Super built-up  Area"," Devarachikkanahalli",3,"Unknown",1250,2,3,44
"Super built-up  Area","Sanjeevini Nagar",3,"Betatsi",2795,4,2,235
"Super built-up  Area","Hulimavu",2,"Prcan P",1125,2,2,50
"Super built-up  Area","Electronic City Phase II",2,"Sryalan",1020,2,1,30.6
"Super built-up  Area","Kalena Agrahara",2,"Unknown",1200,2,2,50
"Super built-up  Area","Thanisandra",3,"Soitya ",1735,3,3,135
"Super built-up  Area","Thanisandra",3,"G conTh",2050,3,1,145
"Plot  Area","Mahalakshmi Layout",4,"Unknown",3750,4,0,760
"Built-up  Area","Yarandahalli",3,"Unknown",1350,2,3,48
"Super built-up  Area","Hosa Road",2,"SStusan",1063,2,1,32
"Super built-up  Area","Keshava Nagar",3,"ETens G",1904,3,1,150
"Built-up  Area","Whitefield",4,"Unknown",4200,4,2,420
"Super built-up  Area","RMV Extension",3,"Hohnari",2000,3,1,175
"Super built-up  Area","Sarjapur",2,"Kinuerg",1290,2,0,43.49
"Super built-up  Area","Tejaswini Nagar",3,"Naods W",1425,2,2,75
"Super built-up  Area","Electronic City",3,"GMown E",1500,2,1,64.5
"Built-up  Area","Electronic City",2,"GMown E",1060,2,1,60
"Built-up  Area","Jai Bheema Nagar",3,"Sancyra",1470,2,2,70
"Super built-up  Area","Kothnur Narayanapura",6,"Unknown",1300,6,0,99
"Super built-up  Area","Attibele",1,"Jae 1hu",450,1,1,11
"Super built-up  Area","Electronic City",2,"Prarkun",1152,2,1,64.5
"Super built-up  Area","Electronic City",3,"GMown E",1350,2,1,56
"Super built-up  Area","CV Raman Nagar",3,"Srshq T",1550,3,3,65
"Plot  Area","CHIKKATIRUPATHI",3,"Unknown",1500,3,2,100
"Plot  Area","Kumaraswami Layout",5,"Unknown",600,3,2,85
"Plot  Area","Nagavara",1,"Unknown",400,1,0,14
"Super built-up  Area","Malleshwaram",1,"Utntspa",705,1,2,67
"Built-up  Area","Electronic City",2,"GMown E",770,1,1,36
"Super built-up  Area","Hulimavu",2,"Aniona ",1242,2,3,51
"Super built-up  Area","Hebbal Kempapura",3,"Goateds",1700,3,2,155
"Super built-up  Area","Thanisandra",3,"Soitya ",2144,3,2,145
"Super built-up  Area","Vijayanagar",3,"Saahaat",1704,3,2,110
"Super built-up  Area","Electronic City",2,"GMown E",1070,2,1,52
"Plot  Area","8th block Koramangala",3,"Unknown",1846,3,2,300
"Super built-up  Area","Jakkuru Layout",2,"Unknown",1340,2,2,55.7
"Built-up  Area","Electronic City",2,"GMown E",1025,2,1,46
"Super built-up  Area","KR Puram",2,"MCvarar",1290,2,0,56.8
"Super built-up  Area","Marathahalli",2,"VRave E",1200,2,2,52
"Built-up  Area","Kanakpura Road",4,"Unknown",2250,4,1,110
"Super built-up  Area","Pattandur Agrahara",3,"MaidoPl",1550,2,3,80
"Plot  Area","Bellandur",4,"Unknown",1200,5,2,325
"Plot  Area","Ejipura",7,"Unknown",1800,7,1,250
"Super built-up  Area","Marathahalli",2,"Aiitya ",1200,2,2,60
"Super built-up  Area","Yelahanka",2,"PuziaVe",1327,2,2,98
"Super built-up  Area","Kothanur",2,"Unknown",1186,2,2,58
"Built-up  Area","MS Pallya",3,"Unknown",1783,3,1,115
"Super built-up  Area","HSR Layout",3,"NRosete",1400,3,2,56
"Super built-up  Area","Nagasandra",2,"Unknown",980,2,1,48
"Super built-up  Area","EPIP Zone",2,"Unknown",1285,2,2,82
"Super built-up  Area","Langford Town",3,"Unknown",912,2,1,70
"Built-up  Area","Whitefield",2,"Sancya ",1225,2,2,47.6
"Super built-up  Area","Whitefield",2,"Unknown",1075,2,1,53
"Built-up  Area","Kadugodi",3,"MSingco",1260,2,2,54
"Super built-up  Area","Yelahanka",3,"Pyikad ",1282,2,2,48.7
"Super built-up  Area","Kogilu",3,"CaIRSCr",1909,3,2,88
"Super built-up  Area","Panathur",2,"Prcesvy",1359,2,1,87
"Built-up  Area","Nagondanahalli",2,"Unknown",1207,2,2,43.5
"Plot  Area","Padmanabhanagar",4,"Unknown",1736,6,0,190
"Super built-up  Area","1st Block Jayanagar",4,"Unknown",2850,4,1,428
"Super built-up  Area","Kammasandra",3,"Emstael",1595,3,2,65
"Built-up  Area","Off Sarjapur Road, ",3,"Unknown",1798,3,2,89
"Super built-up  Area","Electronics City Phase 1",3,"SNdri N",1475,3,2,78.29
"Super built-up  Area","Tala Cauvery Layout",3,"HodhiSa",1580,3,3,100
"Super built-up  Area","Dasarahalli",2,"Syonyph",1295,2,1,65
"Built-up  Area","Magadi Road",6,"Unknown",3600,6,0,141
"Super built-up  Area","Electronic City",1,"Itvir M",589,1,1,27
"Super built-up  Area","Ngef Layout",3,"Unknown",1415,3,3,78
"Super built-up  Area","Sarjapur  Road",3,"Klark L",1787,3,2,98.29
"Super built-up  Area","Sarjapur  Road",3,"Klark L",1787,3,2,125
"Super built-up  Area","Koramangala",3,"Piityra",1475,2,3,90
"Built-up  Area","Lakshminarayanapura, Electronic City Phase 2",4,"Unknown",2000,4,1,75.5
"Super built-up  Area","Sarjapur  Road",2,"AsastDe",984,2,1,44.28
"Super built-up  Area","Muthurayya Swamy Layout",3,"MacleK ",2405,4,2,260
"Built-up  Area","7th Phase JP Nagar",2,"Brnia G",1080,2,2,72
"Plot  Area","Shantiniketan Layout",2,"Unknown",1500,2,1,115
"Super built-up  Area","Hebbal",3,"Unknown",1900,3,2,119
"Super built-up  Area","Dommasandra",2,"Unknown",805,2,1,22.14
"Super built-up  Area","Budigere",2,"PrityTr",1153,2,2,56.4
"Super built-up  Area","Dodda Nekkundi Extension",2,"AlEcone",1148,2,2,60
"Super built-up  Area","Mylasandra",2,"Laowsba",1110,2,2,55
"Built-up  Area","Electronic City",2,"Saave R",1100,2,2,42
"Super built-up  Area","Kalyan nagar",2,"Anave S",1290,2,2,110
"Super built-up  Area","Dr Shivarama Karantha Nagar",3,"Unknown",1500,2,1,65
"Super built-up  Area","Bank Of Baroda Colony",2,"Unknown",1080,2,2,39
"Super built-up  Area","Vijayanagar",3,"Saityat",1933,3,1,129
"Built-up  Area","Ramamurthy Nagar",5,"Unknown",3500,5,2,150
"Built-up  Area","Kullappa Colony",2,"Unknown",1060,2,2,60
"Super built-up  Area","Chandapura",1,"SunceEs",645,1,1,16.45
"Plot  Area","Mukkutam Nagar",8,"Unknown",2600,8,2,180
"Super built-up  Area","Chandapura",1,"SunceEs",645,1,1,16.45
"Super built-up  Area","Ashwath Nagar",3,"SJcerpe",1644,3,3,84
"Super built-up  Area","Ncpr Industrial Layout",2,"Supams ",1285,2,3,72.5
"Plot  Area","Electronic City",3,"Unknown",1200,3,1,90
"Super built-up  Area","Electronic City",2,"CoapeSo",910,2,1,40
"Super built-up  Area","Kothanur",3,"Bisic C",1577,3,1,70
"Plot  Area","Meenakunte",3,"Sreat R",4050,3,2,280
"Super built-up  Area","OMBR Layout",3,"Inntsa ",2420,3,2,185
"Super built-up  Area","Chandapura",2,"KHityry",800,1,1,20
"Built-up  Area","Anand Nagar",2,"Unknown",1060,2,2,55
"Super built-up  Area","7th Phase JP Nagar",2,"BriumMi",1270,2,2,93
"Super built-up  Area","Shree Ananth Nagar Layout",2,"Unknown",900,2,2,22.5
"Built-up  Area","Kundalahalli Colony",2,"Unknown",1280,2,1,69
"Plot  Area","Horamavu Agara",4,"Unknown",1200,2,0,95
"Built-up  Area","Sarjapur  Road",2,"Unknown",1025,2,2,36
"Super built-up  Area","Electronic City",2,"Prarkun",1108,2,1,63
"Plot  Area","MCECHS  layout",5,"Unknown",1200,5,2,170
"Super built-up  Area","Coffee Board Layout",3,"Calyxy ",3045,3,2,170
"Plot  Area","Ambedkar Nagar",4,"Thessrm",2900,3,2,300
"Super built-up  Area","Vijayanagar",3,"JJortom",1500,3,2,75.5
"Super built-up  Area","Raja Rajeshwari Nagar",2,"GrrvaGr",1295,2,2,43.9
"Super built-up  Area","Budigere",2,"PrityTr",1162,2,1,59.9
"Super built-up  Area","Sarjapur  Road",2,"Usquaya",1035,2,2,49.2
"Built-up  Area","Attibele",4,"Natic T",1600,4,0,52.8
"Super built-up  Area","KUDLU MAIN ROAD",3,"Unknown",1464,3,2,46
"Super built-up  Area","Hennur Road",3,"DSapeSk",1866,2,2,61.58
"Super built-up  Area","Geleyara Balaga Layout",2,"Jahtsa ",700,1,1,26
"Super built-up  Area","Kalena Agrahara",3,"Prillot",1804,3,2,120
"Super built-up  Area","Sarjapur",2,"Unknown",913,2,1,32
"Super built-up  Area","Talaghattapura",3,"Sodgere",1868,3,2,131
"Built-up  Area","Kengeri Satellite Town",2,"Unknown",883,2,1,45
"Plot  Area","Sundara Nagar",2,"Unknown",900,2,1,110
"Super built-up  Area","Kogilu",3,"Unknown",1664,2,3,73.95
"Super built-up  Area","Hegde Nagar",3,"SoitaCa",2026,3,2,132
"Super built-up  Area","Balagere",2,"Soestin",1210,2,1,80.9
"Plot  Area","Meenakunte",4,"Sreat R",4111,4,2,250
"Super built-up  Area","Kadugodi",3,"Alestrb",1762,3,3,91.45
"Super built-up  Area","Jigani",3,"DLhtsen",1252,3,3,55
"Built-up  Area","Gollarapalya Hosahalli",2,"Mauner ",861,2,1,34.5
"Built-up  Area","7th Phase JP Nagar",3,"Brnia G",1420,2,1,100
"Plot  Area","Srirampura",6,"Unknown",1450,6,0,250
"Built-up  Area","Electronics City Phase 1",3,"GaicaVe",1490,3,1,78.8
"Super built-up  Area","Bisuvanahalli",3,"Unknown",1075,2,1,46
"Super built-up  Area","Old Madras Road",3,"Saesttt",1425,2,2,94
"Built-up  Area","Kalena Agrahara",2,"Nae 2El",1200,2,1,40
"Super built-up  Area","Kaggadasapura",3,"Unknown",1280,2,2,56
"Super built-up  Area","Silver Springs Layout",2,"Bhinglv",1084,2,2,50
"Super built-up  Area","Chandapura",2,"SunceEs",1015,2,2,25.88
"Super built-up  Area","Kanakpura Road",2,"GolusLi",1017,2,1,51.25
"Super built-up  Area","Haralur Road",2,"Unknown",1027,2,2,44
"Super built-up  Area","Electronic City Phase II",2,"Coush W",1069,2,2,45
"Super built-up  Area","Hebbal",2,"Prersis",1349,2,1,98.2
"Super built-up  Area","9th Phase JP Nagar",2,"NaensGa",1005,2,1,50
"Super built-up  Area","Jakkur",2,"Arzzo P",1417,2,3,75
"Plot  Area","TC Palaya",3,"Unknown",1475,3,1,98
"Carpet  Area","Maruthi Sevanagar",2,"SMikaay",950,2,2,47
"Super built-up  Area","RMV 2nd Stage",4,"Prave E",2000,4,0,120
"Plot  Area","Giri Nagar",3,"Unknown",880,3,1,140
"Super built-up  Area","Sarjapur  Road",4,"Ahriaup",1863,3,2,104
"Super built-up  Area","Singasandra",2,"Priewhi",1010,2,1,29.5
"Super built-up  Area","Kalena Agrahara",3,"Shodsth",1425,2,1,70
"Super built-up  Area","Vijayanagar",3,"Swadeh ",1450,3,0,100
"Super built-up  Area","Kothanur",3,"Somumys",1847,3,2,105
"Super built-up  Area","AECS Layout",2,"Soran U",1100,2,3,45
"Super built-up  Area","Kanakpura Road",1,"PrarePa",525,1,1,26
"Super built-up  Area","Mallasandra",3,"Puestig",1665,3,2,95
"Super built-up  Area","Begur",4,"Prntsrt",1664,4,3,65
"Super built-up  Area","JP Nagar",3,"Maerar ",1850,3,3,150
"Super built-up  Area","Panathur",2,"Vaesh T",1438,2,3,100
"Super built-up  Area","Sunder Ram Shetty Nagar",3,"MaisePa",1560,3,3,115
"Super built-up  Area","Yelahanka",2,"Unknown",1350,2,1,55.55
"Super built-up  Area","Kanakpura Road",3,"JRrnauv",1550,3,3,67
"Super built-up  Area","Malleshpalya",2,"Unknown",1140,2,2,46.5
"Plot  Area","Srirampura",5,"Unknown",1200,5,2,180
"Super built-up  Area","Kodathi",2,"Unknown",850,2,2,27
"Super built-up  Area","Whitefield",2,"Gotis A",1280,2,2,75
"Built-up  Area","Munnekollal",2,"Unknown",1170,2,2,52
"Super built-up  Area","Motappa Layout",2,"Puodse ",1113,2,1,51
"Super built-up  Area","Hennur Road",2,"Mileeou",1385,2,1,83.09
"Super built-up  Area","Electronic City",2,"Prarkun",1128,2,1,65
"Plot  Area","Marathahalli",2,"Unknown",1200,2,2,128
"Plot  Area","Akshaya Vana",4,"Unknown",1200,4,3,165
"Super built-up  Area","Rajaji Nagar",3,"PhestOn",2390,3,2,415
"Plot  Area","Giri Nagar",4,"Unknown",2400,4,1,400
"Super built-up  Area","Haralur Road",3,"NRowse ",1464,3,2,56
"Super built-up  Area","Manayata Tech Park",2,"Unknown",1200,2,2,55
"Super built-up  Area","Kaval Byrasandra",2,"Abncy R",1200,2,2,52
"Super built-up  Area","Kaggalipura",3,"Baowsig",1150,2,1,55
"Built-up  Area","Basavanna Nagar",3,"Itala A",1645,3,2,95
"Super built-up  Area","Sarjapur  Road",2,"Unknown",1000,2,1,67
"Plot  Area","Haralur Road",4,"Unknown",2650,4,2,198
"Super built-up  Area","6th Phase JP Nagar",2,"HMinebo",1192,2,2,74
"Super built-up  Area","Ulsoor",3,"K borja",2135,3,2,215
"Super built-up  Area","Whitefield",2,"Oreldhi",1173,2,1,58
"Built-up  Area","Uttarahalli",2,"Sungspr",1020,2,2,45
"Super built-up  Area","Thigalarapalya",4,"Prtanha",3122,6,2,230
"Super built-up  Area","Somasundara Palya",3,"Unknown",1600,3,3,64
"Plot  Area","T.C PALYA",2,"Unknown",1200,2,0,79
"Carpet  Area","Muneshwara Nagar",2,"Unknown",1230,2,3,48
"Super built-up  Area"," Devarachikkanahalli",2,"Clntsrt",1250,2,2,40
"Super built-up  Area","Kalena Agrahara",2,"PuamaPa",1325,2,2,76
"Built-up  Area","7th Phase JP Nagar",3,"Brngsal",1850,3,1,150
"Super built-up  Area","Basaveshwara Nagar",2,"Unknown",1200,2,2,65
"Plot  Area","Bull Temple Road",3,"Unknown",1350,2,0,140
"Super built-up  Area","Bommasandra",3,"SSestth",1260,3,1,49.36
"Super built-up  Area","Prashanth Nagar",3,"Vancy R",1800,3,0,150
"Plot  Area","Suragajakkanahalli",3,"PrhyaK ",11,3,2,74
"Built-up  Area","Ardendale",2,"Miwel M",1100,2,1,43.25
"Super built-up  Area","Harlur",2,"SrEndPo",1508,2,1,77
"Carpet  Area","Sampigehalli",3,"Puens G",1592,3,2,75
"Super built-up  Area","Akshaya Nagar",2,"SagasSa",1388,2,3,57
"Super built-up  Area","Electronic City Phase II",1,"SNbay G",630,1,1,28.35
"Plot  Area","RMV",3,"Unknown",2000,3,2,365
"Super built-up  Area","Banashankari3rd stage bigbazar",3,"Unknown",1762,3,1,125
"Super built-up  Area","Bagalur Main Road",2,"Unknown",950,2,2,50
"Super built-up  Area","Kodihalli",4,"Soianal",3252,5,3,335
"Super built-up  Area","Magadi Road",2,"Vrenty ",1116,2,1,50
"Super built-up  Area","Narayanapura",2,"AriosHe",1308,2,2,89.04
"Super built-up  Area","MS Pallya",3,"Unknown",1200,3,0,90
"Plot  Area","Binny Mills Employees Colony",4,"Unknown",1500,4,2,230
"Built-up  Area","Bannerghatta Road",1,"Unknown",500,1,1,18.5
"Super built-up  Area","Hennur",2,"SLureSi",1075,2,1,52
"Super built-up  Area","Chandapura",1,"Siissi ",530,1,0,11.66
"Built-up  Area","Bellandur",2,"Unknown",1205,2,3,66
"Super built-up  Area","5th Phase JP Nagar",2,"Mangsr ",1075,2,2,60
"Built-up  Area","KR Puram",2,"HovasTe",930,2,2,39
"Super built-up  Area","Balagere",2,"Exncene",1380,2,1,60
"Super built-up  Area","Hebbal",4,"Prersis",2483,5,2,212
"Built-up  Area","Kodigehaali",2,"Shyas S",1166,2,2,55
"Super built-up  Area","Bannerghatta Road",2,"NadelCi",1050,2,1,65
"Super built-up  Area","Gopalapura",3,"Sothadr",1290,3,2,275
"Super built-up  Area","Begur Road",2,"Dhalsh ",1200,2,2,46.8
"Super built-up  Area","Lakshminarayana Pura",3,"Puarent",1600,2,1,108
"Super built-up  Area","Billekahalli",3,"MaionPa",1935,3,2,110
"Super built-up  Area","8th Phase JP Nagar",1,"Maian M",451,1,0,29.9
"Super built-up  Area","Electronic City",3,"ShstaAl",1800,3,2,95
"Super built-up  Area","Jalahalli",3,"Shard T",1400,3,0,77
"Super built-up  Area","Hegde Nagar",3,"SoitaCa",1801,3,2,115
"Built-up  Area","Mahadevpura",2,"Neagar ",1451,2,2,90
"Plot  Area","Anekal",2,"Unknown",1200,1,1,36
"Super built-up  Area","Begur Road",2,"Dhalsh ",1160,2,2,44
"Built-up  Area","Kengeri",2,"Unknown",1000,2,1,25
"Super built-up  Area","Kanakpura Road",2,"Wiowsri",950,2,1,40
"Built-up  Area","Hoodi Circle, ",3,"Unknown",1629,3,2,79
"Built-up  Area","Vijayanagar",3,"Unknown",1580,2,0,134
"Super built-up  Area","Vijayanagar",3,"Saityat",1826,3,2,121
"Built-up  Area","7th Phase JP Nagar",2,"Eladero",1245,2,1,94
"Super built-up  Area","Raja Rajeshwari Nagar",2,"Lancyey",1145,2,2,45.79
"Super built-up  Area","Sompura",2,"Suiseit",825,2,1,33
